"id","country","postcode","street","number","unit","postal_city","recorded_at","unit_count","geometry_wkt"
"0005eda0-2540-4e36-bc81-dfb52e323d99","US","10002","ALLEN ST","37","1/2","","2024-01-01T00:00:00Z","0","POINT (-73.9922338 40.716163)"
"00587e13-6253-485d-9258-e47d43af7559","US","10038","MADISON ST","45","","","2024-01-12T07:13:17Z","0","POINT (-73.9983308 40.71204)"
"0070f126-d36a-43b3-b767-a8fbb7156602","US","10038","PECK SLIP","44","","","2024-01-23T14:26:34Z","0","POINT (-74.0015005 40.7073293)"
"00a8fc38-5d9a-42da-94a9-7d2f4101f82c","US","11201","FRONT ST","11","","","2024-02-03T21:39:51Z","0","POINT (-73.9928578 40.702681)"
"00f815af-51f6-44c2-b0d6-ee23092d14b2","US","10280","ALBANY ST","340","","","2024-02-14T04:52:08Z","1","POINT (-74.0175967 40.7102422)"
"014806e3-0deb-4be3-abd5-2be10dedf40c","US","10013","CHURCH ST","299","","","2024-02-25T11:05:25Z","0","POINT (-74.0043074 40.7193005)"
"018c3b29-04d1-4890-a12b-8098f6f0c7de","US","10013","WALKER ST","37","","","2024-03-07T18:18:42Z","0","POINT (-74.0040214 40.7192277)"
"01cbed19-2940-4b4a-9d90-6f0be7f1b604","US","10012","MOTT ST","184","","","2024-03-18T01:31:59Z","0","POINT (-73.9957225 40.7207067)"
"01fadb51-074c-4050-a670-4a615337d972","US","10002","E BROADWAY","53","","","2024-03-29T08:44:16Z","2","POINT (-73.9955533 40.7135006)"
"02338589-3333-46a3-8adb-84b4ab20dd49","US","10007","WORLD TRADE CENTER","1","","","2024-04-09T15:57:33Z","0","POINT (-74.0130135 40.7132465)"
"028bc5b7-7987-49b6-b764-be1f6f81f309","US","10012","THOMPSON ST","68","","","2024-04-20T22:10:50Z","0","POINT (-74.0030133 40.7242823)"
"02ad9ccb-a580-45ef-8488-d3b35b58f3e4","US","10014","AVE OF THE AMERICAS","260","","","2024-05-01T05:23:07Z","0","POINT (-74.0023323 40.7289513)"
"02eb28d4-4e3d-4eb0-a72d-b3795bdb5a5b","US","10012","WOOSTER ST","139","","","2024-05-12T12:36:24Z","3","POINT (-73.9998396 40.7258502)"
"031f3e1d-7b14-4f57-8b3f-50d3fb2242e7","US","10013","DESBROSSES ST","2","","","2024-05-23T19:49:41Z","0","POINT (-74.0084458 40.7234422)"
"037716a1-f77e-4fda-bb9f-5861994e15ef","US","10013","MOTT ST","85","","","2024-06-03T02:02:58Z","0","POINT (-73.9979789 40.7166695)"
"03b4681c-0c78-4483-9d20-714c8315ea11","US","10013","BAXTER ST","120","","","2024-06-14T09:15:15Z","0","POINT (-73.9991465 40.7180102)"
"0400947d-6748-449c-9ab9-177fa96ccaaf","US","10013","GRAND ST","154","","","2024-06-25T16:28:32Z","4","POINT (-73.9988115 40.7200596)"
"04382316-a3fe-4442-bef1-b0e1b64f0502","US","11201","MIDDAGH ST","12","","","2024-07-06T23:41:49Z","0","POINT (-73.9946485 40.7007669)"
"04858323-61a9-4293-a2bf-14d3e8f97359","US","10012","MAC DOUGAL ST","48","","","2024-07-17T06:54:06Z","0","POINT (-74.0026039 40.7273331)"
